종목,시세,등락률,시가총액(억),거래량(백만)
,"13,501,350",,,
HD현대267250,"71,100",4.56%,"56,164","307,150"
,"31,003,100",,,
넷마블251270,"64,700",1.89%,"55,612","92,420"
,"12,001,200",,,
금양001570,"95,100",0.32%,"55,206","621,285"
,300300,,,
미래에셋증권006800,"8,950",6.67%,"54,176","1,900,282"
,560560,,,
LG생활건강051900,"336,500",4.50%,"52,555","194,232"
,"1,450,014,500",,,
유한양행000100,"62,600",1.13%,"50,211","164,101"
,700700,,,
한국항공우주047810,"51,300",-0.58%,"50,005","395,218"
,300300,,,
SK바이오사이언스302440,"64,800",1.09%,"49,784","56,606"
,700700,,,
SK아이이테크놀로지361610,"69,700",1.46%,"49,694","278,098"
,"10,001,000",,,
현대제철004020,"36,800",4.25%,"49,108","261,074"
,"15,001,500",,,
두산밥캣241560,"48,700",4.62%,"48,821","265,451"
,"21,502,150",,,
삼성엔지니어링028050,"24,450",2.30%,"47,922","706,506"
,550550,,,
한진칼180640,"71,000",0.42%,"47,401","168,065"
,300300,,,
엔씨소프트036570,"213,000",2.40%,"46,762","94,758"
,"50,005,000",,,
LG이노텍011070,"195,200",0.67%,"46,198","110,019"
,"13,001,300",,,
CJ제일제당097950,"302,500",1.85%,"45,539","16,631"
,"55,005,500",,,
GS078930,"48,700",3.51%,"45,250","163,638"
,"16,501,650",,,
LG유플러스032640,"10,150",1.00%,"44,316","522,353"
,100100,,,
금호석유011780,"155,200",9.45%,"44,306","652,879"
,"1,340,013,400",,,
한미약품128940,"335,500",1.36%,"42,981","21,651"
,"45,004,500",,,
LG디스플레이034220,"11,840",0.59%,"42,365","1,385,539"
,7070,,,
삼성카드029780,"36,350",1.11%,"42,115","87,405"
,400400,,,
코웨이021240,"57,000",-0.52%,"42,066","112,204"
,300300,,,
HD현대일렉트릭267260,"115,900",-0.77%,"41,779","239,288"
,900900,,,
한국금융지주071050,"69,600",6.26%,"38,785","310,167"
,"41,004,100",,,
오리온271560,"97,200",3.62%,"38,429","549,605"
,"34,003,400",,,
NH투자증권005940,"11,580",2.21%,"38,407","1,040,518"
,250250,,,
현대건설000720,"33,750",1.66%,"37,583","406,507"
,550550,,,
삼성증권016360,"41,200",7.99%,"36,792","762,405"
,"30,503,050",,,
강원랜드035250,"17,010",1.98%,"36,391","744,098"
,330330,,,
쌍용C&E003410,"6,950",0.14%,"34,659","2,215,693"
,1010,,,
한온시스템018880,"6,470",2.21%,"34,537","543,587"
,140140,,,
롯데지주004990,"30,500",1.16%,"31,997","424,937"
,350350,,,
CJ대한통운000120,"139,300",2.58%,"31,778","74,941"
,"35,003,500",,,
SKC011790,"82,800",0.98%,"31,355","168,371"
,800800,,,
키움증권039490,"119,300",3.02%,"31,288","94,503"
,"35,003,500",,,
현대로템064350,"28,550",-0.87%,"31,160","661,100"
,250250,,,
현대해상001450,"34,450",2.23%,"30,798","256,200"
,750750,,,
LS006260,"95,400",4.84%,"30,719","266,227"
,"44,004,400",,,
한미사이언스008930,"43,800",3.79%,"30,641","470,757"
,"16,001,600",,,
한화시스템272210,"16,020",-2.67%,"30,265","1,064,436"
,440440,,,
한화생명088350,"3,440",2.23%,"29,877","4,249,277"
,7575,,,
CJ001040,"101,000",3.70%,"29,469","86,659"
,"36,003,600",,,
